rule,antecedent_human,consequent_human,support,confidence,lift,support_count_xy,support_count_x,support_count_y
whole wheat rice + frozen vegetables → mineral water,whole wheat rice + frozen vegetables,mineral water,0.004399,0.485294,2.035901,33,68,1788
eggs + grated cheese → mineral water,eggs + grated cheese,mineral water,0.004399,0.485294,2.035901,33,68,1788
whole wheat pasta + olive oil → mineral water,whole wheat pasta + olive oil,mineral water,0.003866,0.483333,2.027675,29,60,1788
spaghetti + cottage cheese → mineral water,spaghetti + cottage cheese,mineral water,0.003333,0.480769,2.016918,25,52,1788
cake + milk → mineral water,cake + milk,mineral water,0.006399,0.480000,2.013691,48,100,1788
spaghetti + ground beef + pancakes → mineral water,spaghetti + ground beef + pancakes,mineral water,0.003066,0.479167,2.010195,23,48,1788
spaghetti + cooking oil → mineral water,spaghetti + cooking oil,mineral water,0.007599,0.478992,2.009461,57,119,1788
mayonnaise → mineral water,mayonnaise,mineral water,0.002933,0.478261,2.006395,22,46,1788
extra dark chocolate → mineral water,extra dark chocolate,mineral water,0.005733,0.477778,2.004369,43,90,1788
eggs + fresh tuna → mineral water,eggs + fresh tuna,mineral water,0.002800,0.477273,2.002250,21,44,1788
escalope + pancakes → mineral water,escalope + pancakes,mineral water,0.002800,0.477273,2.002250,21,44,1788
cereals + chocolate → mineral water,cereals + chocolate,mineral water,0.002666,0.476190,1.997710,20,42,1788
shrimp + soup → mineral water,shrimp + soup,mineral water,0.002666,0.476190,1.997710,20,42,1788
milk + pancakes → mineral water,milk + pancakes,mineral water,0.007866,0.475806,1.996099,59,124,1788
whole wheat rice + ground beef → mineral water,whole wheat rice + ground beef,mineral water,0.003866,0.475410,1.994435,29,61,1788
chocolate + ground beef → mineral water,chocolate + ground beef,mineral water,0.010932,0.473988,1.988472,82,173,1788
tomatoes + pancakes → mineral water,tomatoes + pancakes,mineral water,0.004666,0.472973,1.984212,35,74,1788
eggs + red wine → mineral water,eggs + red wine,mineral water,0.003333,0.471698,1.978863,25,53,1788
ground beef + olive oil → mineral water,ground beef + olive oil,mineral water,0.006666,0.471698,1.978863,50,106,1788
light cream → mineral water,light cream,mineral water,0.007332,0.470085,1.972098,55,117,1788
chocolate + pancakes → mineral water,chocolate + pancakes,mineral water,0.009332,0.469799,1.970895,70,149,1788
cake + chicken → mineral water,cake + chicken,mineral water,0.003066,0.469388,1.969171,23,49,1788
frozen vegetables + milk → mineral water,frozen vegetables + milk,mineral water,0.011065,0.468927,1.967236,83,177,1788
burgers + frozen vegetables → mineral water,burgers + frozen vegetables,mineral water,0.004933,0.468354,1.964836,37,79,1788
chicken + shrimp → mineral water,chicken + shrimp,mineral water,0.002933,0.468085,1.963706,22,47,1788
grated cheese + olive oil → mineral water,grated cheese + olive oil,mineral water,0.002933,0.468085,1.963706,22,47,1788
cake + frozen vegetables → mineral water,cake + frozen vegetables,mineral water,0.004799,0.467532,1.961388,36,77,1788
tomatoes + milk → mineral water,tomatoes + milk,mineral water,0.006532,0.466667,1.957755,49,105,1788
tomatoes + ground beef → mineral water,tomatoes + ground beef,mineral water,0.005466,0.465909,1.954577,41,88,1788
whole wheat rice + cake → mineral water,whole wheat rice + cake,mineral water,0.003600,0.465517,1.952933,27,58,1788
low fat yogurt + soup → mineral water,low fat yogurt + soup,mineral water,0.002666,0.465116,1.951251,20,43,1788
olive oil + salmon → mineral water,olive oil + salmon,mineral water,0.002666,0.465116,1.951251,20,43,1788
spaghetti + milk + olive oil → mineral water,spaghetti + milk + olive oil,mineral water,0.003333,0.462963,1.942218,25,54,1788
spaghetti + tomatoes + frozen vegetables → mineral water,spaghetti + tomatoes + frozen vegetables,mineral water,0.003066,0.460000,1.929787,23,50,1788
grated cheese + milk → mineral water,grated cheese + milk,mineral water,0.003600,0.457627,1.919833,27,59,1788
soup → mineral water,soup,mineral water,0.023064,0.456464,1.914955,173,379,1788
frozen smoothie + ground beef → mineral water,frozen smoothie + ground beef,mineral water,0.003466,0.456140,1.913596,26,57,1788
frozen vegetables + honey → mineral water,frozen vegetables + honey,mineral water,0.003466,0.456140,1.913596,26,57,1788
frozen vegetables + pancakes → mineral water,frozen vegetables + pancakes,mineral water,0.006133,0.455446,1.910681,46,101,1788
spaghetti + pancakes → mineral water,spaghetti + pancakes,mineral water,0.011465,0.455026,1.908923,86,189,1788
green tea + salmon → mineral water,green tea + salmon,mineral water,0.002666,0.454545,1.906905,20,44,1788
cooking oil + green tea → mineral water,cooking oil + green tea,mineral water,0.003200,0.452830,1.899709,24,53,1788
milk + salmon → mineral water,milk + salmon,mineral water,0.004399,0.452055,1.896456,33,73,1788
spaghetti + ground beef + milk → mineral water,spaghetti + ground beef + milk,mineral water,0.004399,0.452055,1.896456,33,73,1788
spaghetti + chocolate + milk → mineral water,spaghetti + chocolate + milk,mineral water,0.004933,0.451220,1.892952,37,82,1788
fresh bread + frozen vegetables → mineral water,fresh bread + frozen vegetables,mineral water,0.003066,0.450980,1.891949,23,51,1788
low fat yogurt + pancakes → mineral water,low fat yogurt + pancakes,mineral water,0.004266,0.450704,1.890790,32,71,1788
chicken + milk → mineral water,chicken + milk,mineral water,0.006666,0.450450,1.889725,50,111,1788
herb & pepper + milk → mineral water,herb & pepper + milk,mineral water,0.004133,0.449275,1.884796,31,69,1788
chocolate + eggs + milk → mineral water,chocolate + eggs + milk,mineral water,0.004133,0.449275,1.884796,31,69,1788
whole wheat rice + low fat yogurt → mineral water,whole wheat rice + low fat yogurt,mineral water,0.002933,0.448980,1.883555,22,49,1788
spaghetti + olive oil → mineral water,spaghetti + olive oil,mineral water,0.010265,0.447674,1.878079,77,172,1788
frozen vegetables + low fat yogurt → mineral water,frozen vegetables + low fat yogurt,mineral water,0.004533,0.447368,1.876796,34,76,1788
grated cheese + ground beef → mineral water,grated cheese + ground beef,mineral water,0.005066,0.447059,1.875497,38,85,1788
milk + shrimp → mineral water,milk + shrimp,mineral water,0.007866,0.446970,1.875123,59,132,1788
avocado + milk → mineral water,avocado + milk,mineral water,0.003333,0.446429,1.872853,25,56,1788
spaghetti + tomatoes → mineral water,spaghetti + tomatoes,mineral water,0.009332,0.445860,1.870467,70,157,1788
burgers + frozen smoothie → mineral water,burgers + frozen smoothie,mineral water,0.003200,0.444444,1.864529,24,54,1788
burgers + ground beef → mineral water,burgers + ground beef,mineral water,0.005333,0.444444,1.864529,40,90,1788
spaghetti + milk → mineral water,spaghetti + milk,mineral water,0.015731,0.443609,1.861024,118,266,1788
spaghetti + whole wheat rice → mineral water,spaghetti + whole wheat rice,mineral water,0.006266,0.443396,1.860131,47,106,1788
ground beef + shrimp → mineral water,ground beef + shrimp,mineral water,0.005066,0.441860,1.853689,38,86,1788
chocolate + herb & pepper → mineral water,chocolate + herb & pepper,mineral water,0.003999,0.441176,1.850819,30,68,1788
spaghetti + french fries + milk → mineral water,spaghetti + french fries + milk,mineral water,0.002800,0.437500,1.835396,21,48,1788
spaghetti + ground beef + herb & pepper → mineral water,spaghetti + ground beef + herb & pepper,mineral water,0.002800,0.437500,1.835396,21,48,1788
spaghetti + frozen smoothie → mineral water,spaghetti + frozen smoothie,mineral water,0.006799,0.435897,1.828673,51,117,1788
chocolate + milk → mineral water,chocolate + milk,mineral water,0.013998,0.435685,1.827780,105,241,1788
eggs + salmon → mineral water,eggs + salmon,mineral water,0.003600,0.435484,1.826938,27,62,1788
spaghetti + ground beef → mineral water,spaghetti + ground beef,mineral water,0.017064,0.435374,1.826477,128,294,1788
french fries + olive oil → mineral water,french fries + olive oil,mineral water,0.003999,0.434783,1.823996,30,69,1788
fresh bread + milk → mineral water,fresh bread + milk,mineral water,0.003999,0.434783,1.823996,30,69,1788
spaghetti + chocolate + ground beef → mineral water,spaghetti + chocolate + ground beef,mineral water,0.003999,0.434783,1.823996,30,69,1788
chocolate + avocado → mineral water,chocolate + avocado,mineral water,0.003066,0.433962,1.820554,23,53,1788
ground beef + salmon → mineral water,ground beef + salmon,mineral water,0.003866,0.432836,1.815829,29,67,1788
spaghetti + eggs + ground beef → mineral water,spaghetti + eggs + ground beef,mineral water,0.003866,0.432836,1.815829,29,67,1788
olive oil + pancakes → mineral water,olive oil + pancakes,mineral water,0.004666,0.432099,1.812736,35,81,1788
frozen vegetables + shrimp → mineral water,frozen vegetables + shrimp,mineral water,0.007199,0.432000,1.812322,54,125,1788
spaghetti + fresh tuna → mineral water,spaghetti + fresh tuna,mineral water,0.002933,0.431373,1.809690,22,51,1788
spaghetti + french wine → mineral water,spaghetti + french wine,mineral water,0.003333,0.431034,1.808272,25,58,1788
honey + milk → mineral water,honey + milk,mineral water,0.003333,0.431034,1.808272,25,58,1788
spaghetti + hot dogs → mineral water,spaghetti + hot dogs,mineral water,0.003733,0.430769,1.807159,28,65,1788
spaghetti + frozen vegetables → mineral water,spaghetti + frozen vegetables,mineral water,0.011998,0.430622,1.806541,90,209,1788
pancakes + shrimp → mineral water,pancakes + shrimp,mineral water,0.004533,0.430380,1.805525,34,79,1788
spaghetti + chocolate + eggs → mineral water,spaghetti + chocolate + eggs,mineral water,0.004533,0.430380,1.805525,34,79,1788
frozen smoothie + milk → mineral water,frozen smoothie + milk,mineral water,0.006133,0.429907,1.803540,46,107,1788
grated cheese + herb & pepper → mineral water,grated cheese + herb & pepper,mineral water,0.002800,0.428571,1.797939,21,49,1788
whole wheat rice + milk → mineral water,whole wheat rice + milk,mineral water,0.005066,0.426966,1.791205,38,89,1788
green tea + olive oil → mineral water,green tea + olive oil,mineral water,0.004266,0.426667,1.789948,32,75,1788
frozen smoothie + pancakes → mineral water,frozen smoothie + pancakes,mineral water,0.003866,0.426471,1.789125,29,68,1788
cake + ground beef → mineral water,cake + ground beef,mineral water,0.003466,0.426230,1.788114,26,61,1788
tomato juice + green tea → mineral water,tomato juice + green tea,mineral water,0.002666,0.425532,1.785187,20,47,1788
chocolate + ham → mineral water,chocolate + ham,mineral water,0.002666,0.425532,1.785187,20,47,1788
eggs + herb & pepper → mineral water,eggs + herb & pepper,mineral water,0.005333,0.425532,1.785187,40,94,1788
chocolate + salmon → mineral water,chocolate + salmon,mineral water,0.004533,0.425000,1.782956,34,80,1788
chocolate + frozen vegetables → mineral water,chocolate + frozen vegetables,mineral water,0.009732,0.424419,1.780517,73,172,1788
eggs + milk → mineral water,eggs + milk,mineral water,0.013065,0.424242,1.779778,98,231,1788
turkey + cake → mineral water,turkey + cake,mineral water,0.002933,0.423077,1.774888,22,52,1788
cake + low fat yogurt → mineral water,cake + low fat yogurt,mineral water,0.002933,0.423077,1.774888,22,52,1788
chocolate + fresh bread → mineral water,chocolate + fresh bread,mineral water,0.003999,0.422535,1.772616,30,71,1788
chocolate + shrimp → mineral water,chocolate + shrimp,mineral water,0.007599,0.422222,1.771303,57,135,1788
chocolate + cooking oil → mineral water,chocolate + cooking oil,mineral water,0.005733,0.421569,1.768561,43,102,1788
french fries + soup → mineral water,french fries + soup,mineral water,0.003200,0.421053,1.766396,24,57,1788
turkey + ground beef → mineral water,turkey + ground beef,mineral water,0.003866,0.420290,1.763196,29,69,1788
olive oil → mineral water,olive oil,mineral water,0.027596,0.419028,1.757904,207,494,1788
burgers + cake → mineral water,burgers + cake,mineral water,0.004799,0.418605,1.756126,36,86,1788
chicken + frozen vegetables → mineral water,chicken + frozen vegetables,mineral water,0.003733,0.417910,1.753214,28,67,1788
protein bar → mineral water,protein bar,mineral water,0.007732,0.417266,1.750511,58,139,1788
eggs + frozen vegetables → mineral water,eggs + frozen vegetables,mineral water,0.009065,0.417178,1.750141,68,163,1788
chocolate + pepper → mineral water,chocolate + pepper,mineral water,0.002666,0.416667,1.747996,20,48,1788
ground beef + herb & pepper → mineral water,ground beef + herb & pepper,mineral water,0.006666,0.416667,1.747996,50,120,1788
ground beef → mineral water,ground beef,mineral water,0.040928,0.416554,1.747522,307,737,1788
eggs + fresh bread → mineral water,eggs + fresh bread,mineral water,0.003600,0.415385,1.742617,27,65,1788
strong cheese → mineral water,strong cheese,mineral water,0.003200,0.413793,1.735941,24,58,1788
tomatoes + eggs → mineral water,tomatoes + eggs,mineral water,0.005066,0.413043,1.732796,38,92,1788
cake + chocolate → mineral water,cake + chocolate,mineral water,0.005599,0.411765,1.727431,42,102,1788
cooking oil + frozen vegetables → mineral water,cooking oil + frozen vegetables,mineral water,0.002800,0.411765,1.727431,21,51,1788
ground beef + honey → mineral water,ground beef + honey,mineral water,0.002800,0.411765,1.727431,21,51,1788
rice → mineral water,rice,mineral water,0.007732,0.411348,1.725681,58,141,1788
tomatoes + chocolate → mineral water,tomatoes + chocolate,mineral water,0.005733,0.409524,1.718030,43,105,1788
spaghetti + whole wheat pasta → mineral water,spaghetti + whole wheat pasta,mineral water,0.003600,0.409091,1.716214,27,66,1788
chicken + ground beef → mineral water,chicken + ground beef,mineral water,0.003866,0.408451,1.713528,29,71,1788
cooking oil + low fat yogurt → mineral water,cooking oil + low fat yogurt,mineral water,0.002666,0.408163,1.712323,20,49,1788
cooking oil + milk → mineral water,cooking oil + milk,mineral water,0.004666,0.406977,1.707345,35,86,1788
spaghetti + ham → mineral water,spaghetti + ham,mineral water,0.003733,0.405797,1.702396,28,69,1788
tomato sauce → mineral water,tomato sauce,mineral water,0.005733,0.405660,1.701822,43,106,1788
chocolate + eggs → mineral water,chocolate + eggs,mineral water,0.013465,0.405622,1.701663,101,249,1788
spaghetti + chocolate → mineral water,spaghetti + chocolate,mineral water,0.015865,0.404762,1.698053,119,294,1788
tomatoes + burgers → mineral water,tomatoes + burgers,mineral water,0.003333,0.403226,1.691609,25,62,1788
spaghetti + chicken → mineral water,spaghetti + chicken,mineral water,0.006932,0.403101,1.691084,52,129,1788
whole wheat rice + burgers → mineral water,whole wheat rice + burgers,mineral water,0.003600,0.402985,1.690599,27,67,1788
spaghetti + shrimp → mineral water,spaghetti + shrimp,mineral water,0.008532,0.402516,1.688630,64,159,1788
salmon → mineral water,salmon,mineral water,0.017064,0.401254,1.683336,128,319,1788
spaghetti + champagne → mineral water,spaghetti + champagne,mineral water,0.002666,0.400000,1.678076,20,50,1788
tomatoes + cooking oil → mineral water,tomatoes + cooking oil,mineral water,0.002666,0.400000,1.678076,20,50,1788
chicken + frozen smoothie → mineral water,chicken + frozen smoothie,mineral water,0.002666,0.400000,1.678076,20,50,1788
